Carpark Code,Available Spaces,Carpark Open,Timestamp
GREENST,307,True,02-05 02:51:45
MINDENPL,49,True,02-05 02:51:45
PATRIOTICST,337,True,02-05 02:51:45
SANDST,438,True,02-05 02:51:45
PIERRD,711,True,02-05 02:51:45
LESJARDIN,458,True,02-05 02:51:45
TEST,100,True,02-05 02:51:45
GREENST,307,True,02-05 02:56:47
MINDENPL,49,True,02-05 02:56:47
PATRIOTICST,337,True,02-05 02:56:47
SANDST,438,True,02-05 02:56:47
PIERRD,711,True,02-05 02:56:47
LESJARDIN,458,True,02-05 02:56:47
TEST,100,True,02-05 02:56:47
GREENST,307,True,02-05 03:01:40
MINDENPL,49,True,02-05 03:01:40
PATRIOTICST,337,True,02-05 03:01:40
SANDST,438,True,02-05 03:01:40
PIERRD,711,True,02-05 03:01:40
TEST,100,True,02-05 03:01:40
LESJARDIN,458,True,02-05 03:01:40
GREENST,309,True,02-05 03:06:43
MINDENPL,49,True,02-05 03:06:43
PATRIOTICST,337,True,02-05 03:06:43
SANDST,438,True,02-05 03:06:43
PIERRD,711,True,02-05 03:06:43
TEST,100,True,02-05 03:06:43
LESJARDIN,458,True,02-05 03:06:43
TEST,100,True,02-05 03:11:41
GREENST,310,True,02-05 03:11:41
MINDENPL,49,True,02-05 03:11:41
PATRIOTICST,337,True,02-05 03:11:41
SANDST,438,True,02-05 03:11:41
PIERRD,711,True,02-05 03:11:41
LESJARDIN,458,True,02-05 03:11:41
GREENST,310,True,02-05 03:16:34
MINDENPL,49,True,02-05 03:16:34
PATRIOTICST,337,True,02-05 03:16:34
SANDST,438,True,02-05 03:16:34
PIERRD,711,True,02-05 03:16:34
TEST,100,True,02-05 03:16:34
LESJARDIN,458,True,02-05 03:16:34
GREENST,311,True,02-05 03:21:38
MINDENPL,49,True,02-05 03:21:38
PATRIOTICST,337,True,02-05 03:21:38
SANDST,438,True,02-05 03:21:38
PIERRD,711,True,02-05 03:21:38
TEST,100,True,02-05 03:21:38
LESJARDIN,458,True,02-05 03:21:38
GREENST,311,True,02-05 03:26:41
MINDENPL,50,True,02-05 03:26:41
PATRIOTICST,337,True,02-05 03:26:41
SANDST,438,True,02-05 03:26:41
PIERRD,711,True,02-05 03:26:41
TEST,100,True,02-05 03:26:41
LESJARDIN,458,True,02-05 03:26:41
GREENST,311,True,02-05 03:31:34
MINDENPL,50,True,02-05 03:31:34
PATRIOTICST,337,True,02-05 03:31:34
SANDST,438,True,02-05 03:31:34
PIERRD,711,True,02-05 03:31:34
TEST,100,True,02-05 03:31:34
LESJARDIN,458,True,02-05 03:31:34
GREENST,311,True,02-05 03:36:36
MINDENPL,50,True,02-05 03:36:36
PATRIOTICST,337,True,02-05 03:36:36
SANDST,438,True,02-05 03:36:36
PIERRD,711,True,02-05 03:36:36
TEST,100,True,02-05 03:36:36
LESJARDIN,458,True,02-05 03:36:36
GREENST,311,True,02-05 03:41:37
MINDENPL,50,True,02-05 03:41:37
PATRIOTICST,337,True,02-05 03:41:37
SANDST,438,True,02-05 03:41:37
PIERRD,711,True,02-05 03:41:37
TEST,100,True,02-05 03:41:37
LESJARDIN,458,True,02-05 03:41:37
GREENST,311,True,02-05 03:46:39
MINDENPL,50,True,02-05 03:46:39
PATRIOTICST,337,True,02-05 03:46:39
SANDST,438,True,02-05 03:46:39
PIERRD,711,True,02-05 03:46:39
TEST,100,True,02-05 03:46:39
LESJARDIN,458,True,02-05 03:46:39
GREENST,311,True,02-05 03:51:42
MINDENPL,50,True,02-05 03:51:42
PATRIOTICST,338,True,02-05 03:51:42
SANDST,438,True,02-05 03:51:42
PIERRD,712,True,02-05 03:51:42
TEST,100,True,02-05 03:51:42
LESJARDIN,458,True,02-05 03:51:42
GREENST,311,True,02-05 03:56:49
MINDENPL,50,True,02-05 03:56:49
PATRIOTICST,338,True,02-05 03:56:49
SANDST,438,True,02-05 03:56:49
PIERRD,712,True,02-05 03:56:49
LESJARDIN,458,True,02-05 03:56:49
TEST,100,True,02-05 03:56:49
GREENST,312,True,02-05 04:01:51
MINDENPL,50,True,02-05 04:01:51
PATRIOTICST,338,True,02-05 04:01:51
SANDST,438,True,02-05 04:01:51
PIERRD,712,True,02-05 04:01:51
LESJARDIN,458,True,02-05 04:01:51
TEST,100,True,02-05 04:01:51
GREENST,312,True,02-05 04:06:34
